                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3258,                 6.6738,                 8.4758,                0.00481,                0.10317,                0.00271,                0.00043,                 4.4476,                 3.6767,                 4.8184,                0.00032,                0.00032,                0.00032
                      2,                  2.627,                 1.8602,                 2.1519,                0.39215,                 0.4301,                0.32484,                0.15937,                 1.6452,                 1.5277,                 1.6335,             0.00064133,             0.00064133,             0.00064133
                      3,                 1.5155,                 1.2347,                 1.4479,                0.98117,                0.55147,                 0.7653,                0.43527,                  1.468,                0.89857,                 1.4248,             0.00094343,             0.00094343,             0.00094343
                      4,                 1.1631,                0.87224,                 1.2097,                0.98813,                0.56878,                 0.7283,                0.48746,                 1.3313,                0.79446,                 1.2839,              0.0012263,              0.0012263,              0.0012263
                      5,                 1.0125,                0.76675,                 1.1521,                0.69126,                0.77778,                0.86432,                0.58864,                 1.0499,                0.70235,                 1.0947,              0.0014899,              0.0014899,              0.0014899
                      6,                 0.9272,                0.69824,                 1.0704,                0.77814,                0.80952,                0.83299,                0.59479,                 0.9368,                0.72514,                 1.0471,              0.0017171,              0.0017171,              0.0017171
                      7,                0.85835,                0.63212,                 1.0299,                0.82311,                0.92593,                0.92112,                0.69583,                0.83192,                0.56889,                0.99843,              0.0017171,              0.0017171,              0.0017171
                      8,                0.78019,                0.56093,                 1.0217,                0.82308,                0.94768,                0.93795,                0.74406,                0.68595,                 0.4979,                0.97011,              0.0016606,              0.0016606,              0.0016606
                      9,                0.72437,                 0.5306,                0.99581,                0.92145,                 0.9709,                0.97999,                0.78362,                0.67679,                0.53332,                0.95377,               0.001604,               0.001604,               0.001604
                     10,                0.71779,                0.52062,                0.97764,                0.99487,                0.92063,                0.98519,                0.81283,                0.62948,                 0.4837,                0.93139,              0.0015474,              0.0015474,              0.0015474
                     11,                0.66518,                0.48375,                0.96309,                0.98997,                      1,                0.99489,                0.84109,                0.57953,                0.42492,                 0.9394,              0.0014909,              0.0014909,              0.0014909
                     12,                0.59212,                0.44957,                0.94664,                0.99732,                0.98446,                0.99492,                0.84097,                0.57983,                0.41463,                0.93006,              0.0014343,              0.0014343,              0.0014343
